t,a
0,-0.06729
0.02,0.0865
0.04,0.18848
0.06,0.25133
0.08,0.24538
0.1,0.04385
0.12,-0.06348
0.14,-0.12416
0.16,-0.12217
0.18,-0.09068
0.2,-0.12919
0.22,-0.07186
0.24,-0.00212
0.26,-0.07007
0.28,-0.2082
0.3,-0.06409
0.32,0.17342
0.34,0.11151
0.36,0.01071
0.38,-0.03157
0.4,-0.0204
0.42,0.06015
0.44,0.16767
0.46,0.26371
0.48,-0.08084
0.5,-0.42696
0.52,-0.30321
0.54,-0.15045
0.56,-0.1738
0.58,-0.09617
0.6,0.09944
0.62,0.16545
0.64,0.19233
0.66,0.36139
0.68,0.36211
0.7,-0.11717
0.72,-0.16164
0.74,0.10201
0.76,0.16649
0.78,0.24134
0.8,0.17675
0.82,0.01911
0.84,-0.29291
0.86,0.00912
0.88,0.30546
0.9,-0.39713
0.92,-0.19283
0.94,0.07712
0.96,0.03444
0.98,0.46381
1,0.33609
1.02,0.16208
1.04,0.27567
1.06,-0.07814
1.08,-0.76651
1.1,-0.56961
1.12,0.23965
1.14,0.33102
1.16,0.07387
1.18,-0.25183
1.2,-0.20951
1.22,0.03073
1.24,-0.23166
1.26,-0.33061
1.28,0.07087
1.3,0.12439
1.32,0.00155
1.34,0.00967
1.36,0.14616
1.38,0.29402
1.4,0.20239
1.42,-0.21527
1.44,-0.44386
1.46,-0.02691
1.48,0.07702
1.5,0.02389
1.52,-0.11677
1.54,-0.17892
1.56,0.1698
1.58,0.45089
1.6,0.22447
1.62,-0.08362
1.64,-0.10405
1.66,-0.2896
1.68,-0.44472
1.7,0.0661
1.72,0.23049
1.74,-0.07352
1.76,-0.26183
1.78,-0.09552
1.8,0.33502
1.82,-0.10074
1.84,-0.61136
1.86,-0.18667
1.88,0.51427
1.9,0.45775
1.92,0.00466
1.94,-0.0458
1.96,-0.02874
1.98,-0.05023
2,-0.10154
2.02,-0.192
2.04,0.08083
2.06,0.17125
2.08,-0.36293
2.1,-0.35712
2.12,0.22881
2.14,0.54507
2.16,0.25753
2.18,-0.38685
2.2,-0.43088
2.22,0.18698
2.24,0.34767
2.26,-0.17971
2.28,-0.25017
2.3,-0.1077
2.32,0.0318
2.34,0.32208
2.36,0.29704
2.38,0.00982
2.4,0.01081
2.42,0.02978
2.44,-0.03422
2.46,-0.05063
2.48,0.01097
2.5,0.16278
2.52,-0.09123
2.54,-0.38763
2.56,-0.27684
2.58,0.33257
2.6,0.35043
2.62,0.02159
2.64,-0.10759
2.66,0.11791
2.68,0.27817
2.7,0.05034
2.72,0.13057
2.74,0.1646
2.76,-0.07195
2.78,-0.22211
2.8,-0.20729
2.82,-0.16068
2.84,-0.09101
2.86,0.09075
2.88,0.1761
2.9,0.07176
2.92,-0.01674
2.94,-0.44808
2.96,-0.5421
2.98,-0.0016
3,0.40972
3.02,0.25583
3.04,0.25221
3.06,0.4301
3.08,-0.00402
3.1,-0.34748
3.12,-0.16043
3.14,0.17536
3.16,-0.19269
3.18,-0.59576
3.2,-0.38533
3.22,-0.24485
3.24,-0.33371
3.26,0.11634
3.28,0.65452
3.3,0.56336
3.32,0.26014
3.34,-0.26502
3.36,-0.12767
3.38,0.12161
3.4,0.41965
3.42,0.21324
3.44,-0.51813
3.46,-0.45779
3.48,-0.04331
3.5,0.28659
3.52,0.09972
3.54,-0.24534
3.56,-0.26301
3.58,-0.23155
3.6,-0.30919
3.62,-0.20464
3.64,0.03643
3.66,0.18099
3.68,0.20179
3.7,0.14739
3.72,-0.51352
3.74,-0.88505
3.76,-0.07054
3.78,0.23796
3.8,0.04129
3.82,-0.09173
3.84,-0.07557
3.86,0.16681
3.88,0.29774
3.9,0.06918
3.92,0.09893
3.94,0.23626
3.96,0.06376
3.98,0.04072
4,0.07561
4.02,0.16562
4.04,0.19584
4.06,0.204
4.08,0.06453
4.1,-0.22972
4.12,-0.42076
4.14,-0.18096
4.16,0.63021
4.18,0.63828
4.2,0.20588
4.22,0.15419
4.24,0.28932
